family,config,strategy,alpha,gamma,freshness_boost,festival_boost,k,precision,recall,ndcg,coverage,n_users_evaluated
fixed,fixed alpha=0.00,fixed,0.0,3,True,True,10,0.01051156271899089,0.008590342524736921,0.00908765948952641,0.6924,1427
fixed,fixed alpha=0.25,fixed,0.25,3,True,True,10,0.010021023125437982,0.00813088305437862,0.009870319863955162,0.8928,1427
fixed,fixed alpha=0.50,fixed,0.5,3,True,True,10,0.009530483531885075,0.007675238858375449,0.009532300810457936,0.8288,1427
fixed,fixed alpha=0.75,fixed,0.75,3,True,True,10,0.00967063770147162,0.007837385042806361,0.01233519433956352,0.4568,1427
fixed,fixed alpha=1.00,fixed,1.0,3,True,True,10,0.014155571128241068,0.011246375810867104,0.015494806051820017,0.1544,1427
adaptive,adaptive gamma=1,adaptive,,1,True,True,10,0.006447091800981079,0.005064248798099068,0.008670626980555566,0.2376,1427
adaptive,adaptive gamma=3,adaptive,,3,True,True,10,0.004625087596355992,0.003499055877012186,0.00556898371419707,0.2872,1427
adaptive,adaptive gamma=5,adaptive,,5,True,True,10,0.0037841625788367205,0.002894934089515156,0.004069158975192785,0.372,1427
adaptive,adaptive gamma=10,adaptive,,10,True,True,10,0.0034337771548703577,0.0027705756250615346,0.0032899640627777286,0.5684,1427
switching,switching gamma=1,switching,,1,True,True,10,0.014155571128241068,0.011246375810867104,0.015494806051820017,0.1536,1427
switching,switching gamma=3,switching,,3,True,True,10,0.014155571128241068,0.011246375810867104,0.015494806051820017,0.3644,1427
switching,switching gamma=5,switching,,5,True,True,10,0.014155571128241068,0.011246375810867104,0.015494806051820017,0.368,1427
boost,adaptive gamma=3 boosts:both-on,adaptive,,3,True,True,10,0.004625087596355992,0.003499055877012186,0.00556898371419707,0.2872,1427
boost,adaptive gamma=3 boosts:freshness-off,adaptive,,3,False,True,10,0.008829712683952348,0.007099515735757087,0.009933255744486509,0.5096,1427
boost,adaptive gamma=3 boosts:festival-off,adaptive,,3,True,False,10,0.004625087596355992,0.003499055877012186,0.00556898371419707,0.2872,1427
boost,adaptive gamma=3 boosts:both-off,adaptive,,3,False,False,10,0.008829712683952348,0.007099515735757087,0.009933255744486509,0.5096,1427
